Script started on Sun 19 Apr 2009 12:59:41 PM MDT
]0;bdale@rover: ~/src/keithp/altosbdale@rover:~/src/keithp/altos$ cu -l /dev/ttyACM0 
Connected.

> l
F 5657 0000 0003
A 3748 3dc8 4ce0
A 3749 3dc4 4ce0
A 374a 3dc4 4ce0
A 374b 3dac 4cdc
A 374c 3dbc 4ce0
A 374d 3da0 4ce0
A 374e 3dc4 4ce0
A 374f 3db8 4cdc
A 3750 3dac 4cdc
A 3751 3dcc 4cdc
A 3752 3da8 4cdc
A 3753 3db8 4ce0
A 3754 3db8 4cdc
A 3755 3dc8 4ce0
A 3756 3db8 4ce4
A 3757 3dac 4cdc
A 3758 3db4 4ce0
A 3759 3db8 4ce0
A 375a 3dbc 4cdc
A 375b 3dbc 4cd8
A 375c 3db8 4cdc
A 375d 3db0 4ce0
A 375e 3d9c 4ce4
A 375f 3dc0 4cdc
A 3760 3db4 4cdc
A 3761 3dbc 4cdc
A 3762 3da4 4ce0
A 3763 3da8 4ce0
A 3764 3dbc 4cdc
A 3765 3da8 4cd8
A 3766 3db4 4cdc
A 3767 3db0 4ce4
A 3768 3db0 4ce4
A 3769 3db8 4ce0
A 376a 3da8 4cdc
A 376b 3dbc 4cdc
A 376c 3db8 4ce0
A 376d 3dbc 4ce4
A 376e 3da0 4cdc
A 376f 3db4 4cdc
A 3770 3db4 4cd8
A 3771 3da8 4ce4
A 3772 3da8 4ce4
A 3773 3dac 4ce0
A 3774 3db0 4cdc
A 3775 3db8 4ce4
A 3776 3dac 4ce4
A 3777 3dc0 4ce0
A 3778 3dbc 4ce0
A 3779 3dbc 4cdc
A 377a 3db4 4cd8
A 377b 3dac 4cd8
A 377c 3db8 4ce4
A 377d 3dbc 4ce4
A 377e 3dac 4ce4
A 377f 3dac 4ce0
A 3780 3dbc 4cdc
A 3781 3da0 4cd8
T 3781 1d4c 6314
D 3781 0860 000c
A 3782 3da4 4ce4
A 3783 3db4 4cdc
A 3784 3da4 4cd8
A 3785 3db8 4cdc
A 3786 3da4 4ce4
A 3787 3db0 4cdc
A 3788 3da8 4cdc
A 3789 3dac 4cdc
A 378a 3db4 4ce4
A 378b 3db4 4ce0
A 378c 3dac 4ce4
A 378d 3d9c 4cdc
A 378e 3db8 4cd8
A 378f 3db8 4cdc
A 3790 3da8 4cdc
A 3791 3da4 4ce4
A 3792 3da8 4ce0
A 3793 3db4 4cdc
A 3794 3db0 4cdc
A 3795 3da4 4ce0
A 3796 3dac 4ce0
A 3797 3db8 4ce0
A 3798 3db4 4cdc
A 3799 3db0 4cd0
A 379a 3dac 4cd8
A 379b 3db0 4ce0
A 379c 3dac 4ce4
A 379d 3dac 4ce0
A 379e 3db0 4ce4
A 379f 3da8 4cdc
A 37a0 3da4 4ce0
A 37a1 3db0 4ce0
A 37a2 3d98 4cdc
A 37a3 3da8 4cd8
A 37a4 3da0 4cdc
A 37a5 3da8 4ce4
A 37a6 3db8 4ce0
A 37a7 3db8 4cdc
A 37a8 3da0 4ce0
A 37a9 3dc0 4cd8
A 37aa 3db0 4ce0
A 37ab 3db8 4ce4
A 37ac 3dc0 4ce0
A 37ad 3da8 4cdc
A 37ae 3da0 4cd8
A 37af 3da4 4ce0
A 37b0 3da8 4ce4
A 37b1 3db4 4ce4
A 37b2 3da4 4ce0
A 37b3 3dac 4ce4
A 37b4 3db4 4ce0
A 37b5 3dc0 4ce0
A 37b6 3dc4 4cdc
A 37b7 3db0 4cdc
A 37b8 3db0 4cd8
A 37b9 3db8 4cd8
A 37ba 3dc4 4ce0
A 37bb 3dbc 4ce4
A 37bc 3db0 4ce0
A 37bd 3dc0 4cdc
A 37be 3dbc 4ce0
A 37bf 3db0 4cdc
A 37c0 3dcc 4ce4
A 37c1 3db0 4ce0
A 37c2 3dac 4cd8
A 37c3 3da8 4cd8
A 37c4 3dbc 4cdc
A 37c5 3db4 4ce0
A 37c6 3db8 4ce0
A 37c7 3da4 4ce0
A 37c8 3da4 4cdc
A 37c9 3da8 4ce4
A 37ca 3dcc 4ce4
A 37cb 3dbc 4cdc
A 37cc 3db8 4cd8
A 37cd 3db0 4cd8
A 37ce 3db8 4ce0
A 37cf 3dc8 4ce4
A 37d0 3db8 4cdc
A 37d1 3da8 4cdc
A 37d2 3da8 4ce0
A 37d3 3dac 4ce4
A 37d4 3db4 4ce0
A 37d5 3da0 4ce0
A 37d6 3da0 4ce0
A 37d7 3db8 4cd4
A 37d8 3db0 4cdc
A 37d9 3da8 4ce4
A 37da 3da8 4ce0
A 37db 3db8 4ce4
A 37dc 3d90 4ce0
A 37dd 3d9c 4cdc
A 37de 3dac 4cdc
A 37df 3dac 4ce4
A 37e0 3db0 4cdc
A 37e1 3da0 4cd4
A 37e2 3da8 4cd8
A 37e3 3da8 4ce4
A 37e4 3da8 4ce0
A 37e5 3da4 4ce0
A 37e6 3db4 4ce0
A 37e7 3db0 4ce0
A 37e8 3da0 4cdc
A 37e9 3da4 4ce0
A 37ea 3da8 4ce0
A 37eb 3db0 4cdc
A 37ec 3da8 4cd8
A 37ed 3dac 4ce0
A 37ee 3da4 4ce0
A 37ef 3db0 4ce0
A 37f0 3da0 4ce0
A 37f1 3da0 4ce4
A 37f2 3da0 4ce0
A 37f3 3dac 4ce0
A 37f4 3da4 4ce0
A 37f5 3d94 4cdc
A 37f6 3da0 4cd4
A 37f7 3da8 4cd8
A 37f8 3db4 4cdc
A 37f9 3d9c 4ce0
A 37fa 3db0 4cdc
A 37fb 3da4 4cdc
A 37fc 3db0 4cdc
A 37fd 3da4 4cdc
A 37fe 3dbc 4ce0
A 37ff 3d9c 4cdc
A 3800 3da0 4cdc
A 3801 3db8 4cd8
T 3801 1d4c 6310
D 3801 0864 0008
A 3802 3da8 4ce4
A 3803 3da8 4ce4
A 3804 3da8 4cdc
A 3805 3db8 4cdc
A 3806 3dac 4ce0
A 3807 3da0 4ce4
A 3808 3da4 4ce4
A 3809 3da0 4cdc
A 380a 3da4 4cdc
A 380b 3dac 4cdc
A 380c 3db8 4ce4
A 380d 3d9c 4ce4
A 380e 3d90 4ce0
A 380f 3da8 4cdc
A 3810 3da4 4ce0
A 3811 3da4 4ce0
A 3812 3db8 4ce0
A 3813 3da8 4ce4
A 3814 3da4 4cdc
A 3815 3dc0 4cd4
A 3816 3db4 4cd8
A 3817 3dbc 4ce4
A 3818 3dbc 4ce4
A 3819 3da4 4ce0
A 381a 3dc0 4cdc
A 381b 3db0 4cdc
A 381c 3da0 4ce0
A 381d 3db0 4ce4
A 381e 3db0 4ce0
A 381f 3da0 4cd8
A 3820 3db0 4cdc
A 3821 3db8 4ce4
A 3822 3db8 4ce0
A 3823 3db0 4cdc
A 3824 3da4 4cdc
A 3825 3dbc 4cdc
A 3826 3db4 4ce0
A 3827 3db8 4ce0
A 3828 3db8 4ce0
A 3829 3d9c 4cd8
A 382a 3da8 4cd8
A 382b 3db0 4ce0
A 382c 3d9c 4cdc
A 382d 3db4 4cdc
A 382e 3dac 4ce0
A 382f 3d98 4ce0
A 3830 3db0 4ce0
A 3831 3dac 4ce0
A 3832 3db4 4ce4
A 3833 3db0 4ce0
A 3834 3da8 4cd8
A 3835 3db8 4cd8
A 3836 3da8 4ce4
A 3837 3dc4 4ce4
A 3838 3dac 4ce4
A 3839 3da8 4cdc
A 383a 3db4 4cd8
A 383b 3dc0 4ce0
A 383c 3dcc 4ce0
A 383d 3dac 4cdc
A 383e 3db0 4cd8
A 383f 3da8 4cdc
A 3840 3da4 4ce4
A 3841 3da4 4ce0
A 3842 3da0 4ce0
A 3843 3da8 4ce0
A 3844 3da0 4cd8
A 3845 3dac 4cdc
A 3846 3dc0 4ce4
A 3847 3d90 4ce0
A 3848 3da8 4cdc
A 3849 3da8 4cdc
A 384a 3dac 4cdc
A 384b 3db8 4ce4
A 384c 3d9c 4ce0
A 384d 3da8 4cdc
A 384e 3d98 4ce4
A 384f 3d98 4ce0
A 3850 3db0 4cdc
A 3851 3da8 4ce4
A 3852 3dac 4cdc
A 3853 3db0 4cd4
A 3854 3d9c 4cdc
A 3855 3dc8 4ce4
A 3856 3d9c 4ce0
A 3857 3da4 4ce0
A 3858 3d98 4ce4
A 3859 3da0 4ce0
A 385a 3db8 4ce0
A 385b 3da4 4ce0
A 385c 3da0 4cdc
A 385d 3d98 4cd8
A 385e 3da8 4cd8
A 385f 3db0 4ce4
A 3860 3da8 4ce0
A 3861 3dbc 4cdc
A 3862 3da4 4cdc
A 3863 3dac 4cdc
A 3864 3da4 4ce0
A 3865 3dac 4ce4
A 3866 3db8 4ce0
A 3867 3d98 4cd8
A 3868 3da8 4cdc
A 3869 3db4 4ce0
A 386a 3dd0 4ce0
A 386b 3da8 4cdc
A 386c 3db0 4ce0
A 386d 3d98 4ce4
A 386e 3db8 4ce0
A 386f 3dac 4ce0
A 3870 3da4 4ce8
A 3871 3db4 4cdc
A 3872 3db8 4cd8
A 3873 3dac 4cdc
A 3874 3dc8 4ce4
A 3875 3da8 4ce4
A 3876 3db0 4ce0
A 3877 3da8 4cdc
A 3878 3d94 4cdc
A 3879 3d9c 4ce0
A 387a 3da8 4ce0
A 387b 3da0 4cd8
A 387c 3db4 4cd8
A 387d 3da4 4cdc
A 387e 3d9c 4ce0
A 387f 3da8 4cdc
A 3880 3db8 4cdc
A 3881 3da4 4cd8
T 3881 1d50 6314
D 3881 0864 0008
A 3882 3dbc 4ce0
A 3883 3db8 4ce0
A 3884 3db4 4ce0
A 3885 3dac 4ce0
A 3886 3db8 4cdc
A 3887 3db0 4cd8
A 3888 3dc4 4ce8
A 3889 3db4 4ce8
A 388a 3dbc 4cd8
A 388b 3da8 4cdc
A 388c 3dac 4ce0
A 388d 3dbc 4ce0
A 388e 3dac 4ce0
A 388f 3da4 4ce0
A 3890 3dbc 4cdc
A 3891 3db0 4cd8
A 3892 3dbc 4cd8
A 3893 3dbc 4ce0
A 3894 3dc0 4ce4
A 3895 3dbc 4cdc
A 3896 3da4 4cdc
A 3897 3dbc 4cdc
A 3898 3db8 4cdc
A 3899 3dc0 4ce4
A 389a 3db0 4cd8
A 389b 3dc0 4cd8
A 389c 3db8 4cdc
A 389d 3dc8 4ce4
A 389e 3dc4 4ce8
A 389f 3db0 4ce0
A 38a0 3db8 4cd8
A 38a1 3db4 4ce0
A 38a2 3db4 4ce0
A 38a3 3dac 4ce0
A 38a4 3db8 4cd8
A 38a5 3db0 4cdc
A 38a6 3dc0 4cdc
A 38a7 3dc0 4ce0
A 38a8 3dac 4ce4
A 38a9 3db8 4cdc
A 38aa 3db4 4cd8
A 38ab 3dac 4ce4
A 38ac 3db0 4ce4
A 38ad 3dbc 4cdc
A 38ae 3db4 4cdc
A 38af 3db0 4cdc
A 38b0 3dac 4cdc
A 38b1 3d9c 4cdc
A 38b2 3da8 4ce4
A 38b3 3da4 4ce4
A 38b4 3dc0 4ce0
A 38b5 3d90 4cdc
A 38b6 3db8 4ce0
A 38b7 3db0 4ce0
A 38b8 3dac 4ce4
A 38b9 3db4 4ce0
A 38ba 3da8 4cdc
A 38bb 3d94 4cd8
A 38bc 3db4 4ce4
A 38bd 3db0 4ce0
A 38be 3db4 4cdc
A 38bf 3dac 4cdc
A 38c0 3db8 4ce0
A 38c1 3da8 4ce4
A 38c2 3da8 4ce4
A 38c3 3dc0 4cdc
A 38c4 3dac 4cd8
A 38c5 3dac 4cd8
A 38c6 3dc0 4ce0
A 38c7 3da4 4ce4
A 38c8 3da4 4cdc
A 38c9 3da8 4ce0
A 38ca 3dac 4cdc
A 38cb 3da0 4ce0
A 38cc 3d98 4ce4
A 38cd 3da4 4ce0
A 38ce 3db0 4cd8
A 38cf 3da4 4cd4
A 38d0 3db0 4cd8
A 38d1 3da0 4ce8
A 38d2 3db0 4ce4
A 38d3 3db8 4ce0
A 38d4 3da4 4cdc
A 38d5 3dac 4cdc
A 38d6 3d9c 4ce0
A 38d7 3dac 4ce4
A 38d8 3db4 4ce0
A 38d9 3d98 4cd8
A 38da 3db0 4cdc
A 38db 3dac 4ce0
A 38dc 3dac 4ce4
A 38dd 3db4 4ce4
A 38de 3dac 4ce0
A 38df 3da8 4cdc
A 38e0 3da4 4ce0
A 38e1 3db0 4ce4
A 38e2 3db8 4ce0
A 38e3 3dac 4cd8
A 38e4 3da8 4cdc
A 38e5 3da8 4ce4
A 38e6 3d9c 4ce0
A 38e7 3d9c 4cdc
A 38e8 3da0 4cdc
A 38e9 3dc0 4cdc
A 38ea 3db8 4ce0
A 38eb 3da4 4ce0
A 38ec 3db4 4ce0
A 38ed 3da8 4cdc
A 38ee 3da8 4cd4
A 38ef 3da4 4cd8
A 38f0 3dac 4ce0
A 38f1 3da8 4ce4
A 38f2 3d94 4ce0
A 38f3 3d94 4ce0
A 38f4 3db0 4cdc
A 38f5 3da8 4ce0
A 38f6 3da8 4ce8
A 38f7 3d90 4cdc
A 38f8 3da8 4cd8
A 38f9 3da8 4ce0
A 38fa 3db0 4ce0
A 38fb 3db0 4ce0
A 38fc 3db8 4ce0
A 38fd 3da4 4ce0
A 38fe 3da8 4ce0
A 38ff 3da4 4ce4
A 3900 3db4 4ce4
A 3901 3db0 4cdc
T 3901 1d50 6314
D 3901 0868 000c
A 3902 3dbc 4cdc
A 3903 3dac 4cdc
A 3904 3db0 4ce0
A 3905 3da8 4ce0
A 3906 3dc4 4ce0
A 3907 3d90 4cdc
A 3908 3db0 4ce0
A 3909 3da0 4ce0
A 390a 3da8 4cdc
A 390b 3dac 4ce4
A 390c 3dbc 4cdc
A 390d 3db0 4cd4
A 390e 3dbc 4cd8
A 390f 3db8 4ce0
A 3910 3dc0 4ce0
A 3911 3da0 4ce0
A 3912 3d9c 4ce0
A 3913 3dac 4cdc
A 3914 3db8 4ce0
A 3915 3da8 4ce4
A 3916 3dac 4cdc
A 3917 3db0 4cd4
A 3918 3da8 4cdc
A 3919 3db8 4ce4
A 391a 3db8 4ce0
A 391b 3da4 4ce0
A 391c 3dac 4ce0
A 391d 3db8 4ce4
A 391e 3db0 4ce0
A 391f 3d98 4ce0
A 3920 3da8 4cd8
A 3921 3dac 4cdc
A 3922 3db0 4cd8
A 3923 3db0 4ce0
A 3924 3db4 4cdc
A 3925 3d94 4cd8
A 3926 3da4 4cdc
A 3927 3db4 4ce4
A 3928 3dbc 4ce4
A 3929 3db8 4cdc
A 392a 3da8 4cd8
A 392b 3db4 4cd8
A 392c 3dac 4cd8
A 392d 3dac 4cd8
A 392e 3da4 4ce4
A 392f 3db8 4ce4
A 3930 3db0 4ce0
A 3931 3da8 4ce0
A 3932 3da4 4ce0
A 3933 3d94 4cdc
A 3934 3da0 4ce4
A 3935 3dac 4cdc
A 3936 3d94 4cd8
A 3937 3da0 4cdc
A 3938 3dac 4ce0
A 3939 3da4 4ce0
A 393a 3da8 4cdc
A 393b 3d88 4ce0
A 393c 3da4 4cdc
A 393d 3d98 4ce0
A 393e 3d9c 4ce0
A 393f 3d9c 4cdc
A 3940 3da0 4ce0
A 3941 3d9c 4cd8
A 3942 3da0 4ce0
A 3943 3da8 4ce0
A 3944 3da0 4cdc
A 3945 3d94 4ce0
A 3946 3d94 4ce0
A 3947 3db0 4ce0
A 3948 3db0 4ce0
A 3949 3da4 4ce4
A 394a 3dac 4cdc
A 394b 3da4 4cd4
A 394c 3d7c 4cd8
A 394d 3dac 4ce4
A 394e 3d94 4ce0
A 394f 3d9c 4cdc
A 3950 3d90 4ce0
A 3951 3da4 4cdc
A 3952 3d9c 4cdc
A 3953 3da8 4ce4
A 3954 3da0 4cd8
A 3955 3d98 4cd8
A 3956 3da4 4ce0
A 3957 3d9c 4ce4
A 3958 3d9c 4ce0
A 3959 3d9c 4ce0
A 395a 3d98 4cd8
A 395b 3d94 4cdc
A 395c 3da0 4ce0
A 395d 3da0 4ce4
A 395e 3da0 4ce0
A 395f 3db0 4cdc
A 3960 3da8 4cdc
A 3961 3da4 4ce0
A 3962 3da4 4ce0
A 3963 3dac 4ce0
A 3964 3da8 4ce0
A 3965 3da0 4cdc
A 3966 3da0 4ce0
A 3967 3da4 4ce0
A 3968 3dac 4cdc
A 3969 3da4 4ce0
A 396a 3da8 4cd8
A 396b 3db8 4cd8
A 396c 3da8 4ce4
A 396d 3d9c 4ce4
A 396e 3da8 4ce0
A 396f 3d9c 4ce0
A 3970 3d98 4ce0
A 3971 3da4 4ce4
A 3972 3db8 4cdc
A 3973 3da8 4cd8
A 3974 3d94 4cd8
A 3975 3db0 4cdc
A 3976 3dac 4ce0
A 3977 3d98 4ce4
A 3978 3d90 4cdc
A 3979 3da8 4cdc
A 397a 3d98 4ce0
A 397b 3dc0 4ce0
A 397c 3dac 4ce4
A 397d 3dac 4cdc
A 397e 3db0 4cd4
A 397f 3dac 4cdc
A 3980 3dac 4ce0
A 3981 3da0 4ce4
T 3981 1d4c 631c
D 3981 0868 0008
A 3982 3da8 4ce0
A 3983 3da4 4cdc
A 3984 3db8 4ce4
A 3985 3db0 4ce0
A 3986 3d9c 4ce4
A 3987 3db4 4ce0
A 3988 3db0 4cdc
A 3989 3db4 4cd4
A 398a 3db4 4cdc
A 398b 3db4 4cdc
A 398c 3db4 4ce0
A 398d 3da4 4ce4
A 398e 3d98 4ce0
A 398f 3db0 4cd8
A 3990 3da4 4ce0
A 3991 3d98 4ce4
A 3992 3da4 4ce0
A 3993 3da4 4cd4
A 3994 3da4 4cd8
A 3995 3da4 4ce4
A 3996 3da4 4ce0
A 3997 3db8 4ce0
A 3998 3d90 4ce0
A 3999 3db0 4ce0
A 399a 3db0 4ce0
A 399b 3d9c 4ce4
A 399c 3db4 4cdc
A 399d 3db8 4cdc
A 399e 3db4 4cd8
A 399f 3db8 4ce4
A 39a0 3da4 4ce0
A 39a1 3dac 4cdc
A 39a2 3d9c 4ce0
A 39a3 3d94 4ce0
A 39a4 3da4 4ce4
A 39a5 3dbc 4ce0
A 39a6 3dac 4ce0
A 39a7 3da8 4cdc
A 39a8 3da4 4cd4
A 39a9 3db8 4cd8
A 39aa 3db0 4ce4
A 39ab 3dc0 4ce8
A 39ac 3db0 4ce0
A 39ad 3db4 4ce0
A 39ae 3dbc 4ce0
A 39af 3d9c 4ce0
A 39b0 3dbc 4ce4
A 39b1 3da0 4cdc
A 39b2 3da4 4cd8
A 39b3 3dac 4cdc
A 39b4 3db8 4ce4
A 39b5 3db4 4ce0
A 39b6 3db4 4ce0
A 39b7 3da8 4cdc
A 39b8 3dac 4ce0
A 39b9 3da4 4cdc
A 39ba 3da8 4ce0
A 39bb 3db4 4cdc
A 39bc 3db8 4cd8
A 39bd 3db8 4cd8
A 39be 3dbc 4cdc
A 39bf 3da4 4ce0
A 39c0 3da4 4cd8
A 39c1 3da0 4cdc
A 39c2 3d94 4ce0
A 39c3 3da8 4ce0
A 39c4 3d9c 4ce0
A 39c5 3da0 4ce4
A 39c6 3da8 4cdc
A 39c7 3da4 4cd4
A 39c8 3da0 4cd8
A 39c9 3db8 4ce0
A 39ca 3dbc 4ce4
A 39cb 3dac 4ce0
A 39cc 3dc0 4ce0
A 39cd 3da4 4ce0
A 39ce 3d98 4ce0
A 39cf 3db8 4ce0
A 39d0 3da0 4ce0
A 39d1 3db8 4cd8
A 39d2 3dbc 4cd8
A 39d3 3dc0 4ce0
A 39d4 3db0 4ce0
A 39d5 3dac 4cdc
A 39d6 3d90 4ce0
A 39d7 3da0 4ce0
A 39d8 3da8 4ce0
A 39d9 3da4 4ce4
A 39da 3db8 4ce0
A 39db 3d9c 4cdc
A 39dc 3dac 4cd8
A 39dd 3d94 4ce4
A 39de 3da4 4ce4
A 39df 3da8 4cdc
A 39e0 3dac 4cdc
A 39e1 3da8 4ce0
A 39e2 3d9c 4ce0
A 39e3 3db8 4ce0
A 39e4 3db0 4ce4
A 39e5 3dac 4cdc
A 39e6 3da8 4cd4
A 39e7 3dac 4cd8
A 39e8 3dbc 4ce4
A 39e9 3db8 4ce4
A 39ea 3dc0 4ce0
A 39eb 3da8 4cdc
A 39ec 3da8 4cdc
A 39ed 3da0 4cdc
A 39ee 3da8 4ce4
A 39ef 3dc0 4cdc
A 39f0 3da8 4cd4
A 39f1 3db8 4cd8
A 39f2 3dbc 4ce4
A 39f3 3dc0 4cdc
A 39f4 3dc0 4ce0
A 39f5 3db4 4cdc
A 39f6 3dc0 4ce0
A 39f7 3dbc 4ce0
A 39f8 3dbc 4ce0
A 39f9 3da8 4cdc
A 39fa 3db0 4cdc
A 39fb 3d9c 4cdc
A 39fc 3da4 4ce0
A 39fd 3db4 4ce0
A 39fe 3da8 4ce0
A 39ff 3d98 4cdc
A 3a00 3da0 4ce0
A 3a01 3dac 4ce0
T 3a01 1d4c 6324
D 3a01 0860 000c
A 3a02 3db8 4ce0
A 3a03 3dac 4cdc
A 3a04 3da0 4cdc
A 3a05 3db8 4cd8
A 3a06 3dbc 4cdc
A 3a07 3da4 4ce4
A 3a08 3da8 4ce0
A 3a09 3db8 4ce0
A 3a0a 3da8 4ce0
A 3a0b 3db0 4cdc
A 3a0c 3d9c 4ce0
A 3a0d 3da0 4ce0
A 3a0e 3db0 4cdc
A 3a0f 3da4 4cd4
A 3a10 3dac 4cdc
A 3a11 3db4 4ce4
A 3a12 3da4 4ce0
A 3a13 3da8 4cdc
A 3a14 3d98 4cdc
A 3a15 3da0 4ce0
A 3a16 3db0 4cdc
A 3a17 3da8 4ce4
A 3a18 3db0 4cdc
A 3a19 3da8 4cdc
A 3a1a 3db0 4cd8
A 3a1b 3db0 4ce0
A 3a1c 3da8 4ce4
A 3a1d 3dac 4cdc
A 3a1e 3da4 4cdc
A 3a1f 3d9c 4cdc
A 3a20 3da8 4ce0
A 3a21 3db4 4cdc
A 3a22 3db4 4ce4
A 3a23 3db4 4cdc
A 3a24 3db8 4cd8
A 3a25 3db4 4cd8
A 3a26 3db0 4ce0
A 3a27 3dc0 4ce0
A 3a28 3db0 4ce4
A 3a29 3db8 4cdc
A 3a2a 3db8 4cdc
A 3a2b 3da8 4ce0
A 3a2c 3db4 4ce0
A 3a2d 3da4 4cd8
A 3a2e 3dbc 4cd8
A 3a2f 3dcc 4cdc
A 3a30 3dbc 4ce4
A 3a31 3db8 4ce0
A 3a32 3db0 4ce0
A 3a33 3da4 4ce0
A 3a34 3da0 4ce0
A 3a35 3dbc 4ce0
A 3a36 3db8 4ce0
A 3a37 3db8 4cdc
A 3a38 3db0 4cdc
A 3a39 3da4 4cdc
A 3a3a 3dac 4ce0
A 3a3b 3da4 4ce4
A 3a3c 3db0 4ce0
A 3a3d 3dc4 4ce0
A 3a3e 3db0 4ce0
A 3a3f 3dac 4cdc
A 3a40 3dc8 4ce0
A 3a41 3db8 4ce4
A 3a42 3db4 4cdc
A 3a43 3db8 4cd8
A 3a44 3dc0 4cdc
A 3a45 3dc0 4ce0
A 3a46 3dbc 4ce4
A 3a47 3da4 4cdc
A 3a48 3db0 4cdc
A 3a49 3db4 4cd8
A 3a4a 3dbc 4ce0
A 3a4b 3db0 4ce4
A 3a4c 3dac 4ce0
A 3a4d 3dac 4cd8
A 3a4e 3db8 4cd8
A 3a4f 3db0 4ce4
A 3a50 3dac 4ce0
A 3a51 3db0 4cdc
A 3a52 3d98 4cdc
A 3a53 3dac 4ce4
A 3a54 3da4 4ce0
A 3a55 3db4 4ce0
A 3a56 3dac 4cdc
A 3a57 3dac 4cdc
A 3a58 3dc0 4cd8
A 3a59 3db0 4ce0
A 3a5a 3da4 4ce0
A 3a5b 3dac 4ce0
A 3a5c 3da4 4ce0
A 3a5d 3da4 4ce4
A 3a5e 3da4 4ce0
A 3a5f 3da4 4ce0
A 3a60 3db4 4cdc
A 3a61 3da4 4cdc
A 3a62 3da8 4cd8
A 3a63 3da8 4cd8
A 3a64 3db4 4ce4
A 3a65 3dc4 4ce4
A 3a66 3db0 4cdc
A 3a67 3da8 4cdc
A 3a68 3db0 4cdc
A 3a69 3d9c 4ce0
A 3a6a 3da8 4ce4
A 3a6b 3dac 4cdc
A 3a6c 3db4 4cd8
A 3a6d 3db0 4cdc
A 3a6e 3da4 4ce4
A 3a6f 3db4 4ce0
A 3a70 3da0 4cdc
A 3a71 3db0 4ce0
A 3a72 3db4 4ce0
A 3a73 3da4 4ce0
A 3a74 3dac 4ce4
A 3a75 3da0 4cdc
A 3a76 3d98 4cdc
A 3a77 3d98 4cd8
A 3a78 3db0 4ce0
A 3a79 3db4 4ce0
A 3a7a 3da8 4cdc
A 3a7b 3d9c 4ce0
A 3a7c 3da0 4ce0
A 3a7d 3dac 4ce0
A 3a7e 3db4 4ce0
A 3a7f 3d9c 4ce0
A 3a80 3dc4 4cdc
A 3a81 3db8 4cd8
T 3a81 1d50 6310
D 3a81 085c 000c
A 3a82 3dac 4cd8
A 3a83 3dc4 4ce8
A 3a84 3db8 4ce4
A 3a85 3dac 4ce0
A 3a86 3dac 4cdc
A 3a87 3d98 4cdc
A 3a88 3da8 4ce0
A 3a89 3db4 4ce8
A 3a8a 3db0 4cdc
A 3a8b 3db0 4cd8
A 3a8c 3db8 4cdc
A 3a8d 3db0 4ce0
A 3a8e 3da0 4ce0
A 3a8f 3da4 4ce0
A 3a90 3da4 4ce0
A 3a91 3db4 4ce0
A 3a92 3d98 4ce0
A 3a93 3db4 4ce0
A 3a94 3db4 4ce0
A 3a95 3dac 4cdc
A 3a96 3da4 4cdc
A 3a97 3db0 4ce0
A 3a98 3da4 4ce0
A 3a99 3db0 4ce0
A 3a9a 3dac 4cdc
A 3a9b 3dc0 4ce0
A 3a9c 3dac 4ce4
A 3a9d 3da4 4ce0
A 3a9e 3da0 4ce4
A 3a9f 3da8 4ce0
A 3aa0 3d98 4cd4
A 3aa1 3da4 4cdc
A 3aa2 3da4 4ce0
A 3aa3 3da8 4ce0
A 3aa4 3da8 4ce0
A 3aa5 3da0 4cdc
A 3aa6 3d94 4ce0
A 3aa7 3da0 4ce4
A 3aa8 3dc0 4ce4
A 3aa9 3da8 4cd8
A 3aaa 3da0 4cd8
A 3aab 3db4 4cdc
A 3aac 3db4 4ce0
A 3aad 3db0 4cdc
A 3aae 3db0 4cdc
A 3aaf 3d9c 4ce0
A 3ab0 3da4 4cdc
A 3ab1 3db0 4ce0
A 3ab2 3da0 4ce0
A 3ab3 3dbc 4ce0
A 3ab4 3d9c 4cd8
A 3ab5 3da4 4cd8
A 3ab6 3dac 4ce0
A 3ab7 3db0 4ce4
A 3ab8 3dac 4cdc
A 3ab9 3d98 4cdc
A 3aba 3d9c 4ce4
A 3cbb 3da4 4ce8
A 3cbc 3db4 4ce0
A 3cbd 3dac 4cdc
A 3cbe 3db0 4cdc
A 3cbf 3db0 4cdc
A 3cc0 3db8 4cdc
A 3cc1 3da8 4ce0
A 3cc2 3dc4 4ce0
A 3cc3 3dc8 4ce0
A 3cc4 3dac 4cdc
A 3cc5 3db0 4ce0
A 3cc6 3db4 4ce4
A 3cc7 3db4 4ce0
A 3cc8 3d9c 4cdc
A 3cc9 3da4 4ce4
A 3cca 3db4 4ce0
A 3ccb 3dbc 4ce0
A 3ccc 3dac 4ce0
A 3ccd 3db0 4ce0
A 3cce 3dc8 4cd8
A 3ccf 3da8 4cd8
A 3cd0 3dc0 4ce4
A 3cd1 3da8 4ce8
A 3cd2 3da4 4ce4
A 3cd3 3dc0 4ce4
A 3cd4 3da8 4cdc
A 3cd5 3dac 4ce4
A 3cd6 3db8 4ce4
A 3cd7 3db4 4ce0
A 3cd8 3dac 4cd8
A 3cd9 3dbc 4ce4
A 3cda 3dbc 4ce8
A 3cdb 3db4 4ce0
A 3cdc 3dbc 4ce0
A 3cdd 3db0 4ce0
A 3cde 3db0 4ce0
A 3cdf 3dac 4ce0
A 3ce0 3dbc 4ce4
A 3ce1 3db4 4cdc
A 3ce2 3dbc 4cdc
A 3ce3 3db8 4cd8
